facet_id,facet_raw,facet_normalized,is_malformed,malformed_reason,facet_category,facet_type,conversation_observable,observability_reason,sensitivity,scoring_definition,anchor_1,anchor_3,anchor_5,abstention_reason,review_required,preprocessing_version
ad0015dd3d99,Eco-tourism trips,eco-tourism trips,false,,biography_external,external_biographical_fact,false,Requires external historical or biographical confirmation,ordinary,,,,,Requires external historical or biographical confirmation,true,v1.2
e09c0e7b17f6,Chivalrousness,chivalrousness,false,,values,conversational_trait,true,Direct linguistic evidence possible in short conversation,ordinary,Measures the conversational expression of the trait: chivalrousness.,"Strong linguistic evidence of the low end (e.g., explicitly demonstrating the opposite of chivalrousness).","Mixed, moderate, or limited but sufficient evidence of chivalrousness.",Strong and repeated linguistic evidence of the high end of chivalrousness.,,false,v1.2
cc741e6baf39,Pilgrimage participation count,pilgrimage participation count,false,,religion_culture,religious_or_cultural_practice,false,Religious or cultural practice requires external or self-reported history observation,sensitive,,,,,Religious or cultural practice requires external or self-reported history observation,true,v1.2
f00219251ee3,Mindfulness facet: Observing,mindfulness facet: observing,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
771c793b80ab,Submissiveness,submissiveness,false,,social_interaction,conversational_behavior,true,Direct linguistic evidence possible in short conversation,ordinary,Measures the frequency and intensity of submissiveness behavior in conversation.,"Strong linguistic evidence of the low end (e.g., deliberate avoidance of submissiveness).","Mixed, moderate, or limited but sufficient evidence of submissiveness.",Strong and repeated linguistic evidence of the high end of submissiveness.,,false,v1.2
373d096d22a1,Training-cycle length,training-cycle length,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
875b40616bc4,Sensitiveness,sensitiveness,false,,emotional_regulation,conversational_trait,true,Direct linguistic evidence possible in short conversation,ordinary,Measures the conversational expression of the trait: sensitiveness.,"Strong linguistic evidence of the low end (e.g., explicitly demonstrating the opposite of sensitiveness).","Mixed, moderate, or limited but sufficient evidence of sensitiveness.",Strong and repeated linguistic evidence of the high end of sensitiveness.,,false,v1.2
0d7cef808293,Negative Affect Frequency,negative affect frequency,false,,emotional_regulation,conversational_trait,true,Direct linguistic evidence possible in short conversation,ordinary,Measures the conversational expression of the trait: negative affect frequency.,"Strong linguistic evidence of the low end (e.g., explicitly demonstrating the opposite of negative affect frequency).","Mixed, moderate, or limited but sufficient evidence of negative affect frequency.",Strong and repeated linguistic evidence of the high end of negative affect frequency.,,false,v1.2
36305dd4a73d,Innovation and Creativity Components:,innovation and creativity components,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
f95a67afe916,Achievement Motivation:,achievement motivation,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
e1435c868ea2,Feedback-giving frequency,feedback-giving frequency,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
fedc59f2dfba,Dance-cardio sessions,dance-cardio sessions,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
b44a4c335f4f,Enthusiasm,enthusiasm,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
309d69b35e10,Psychological construct: Social Desirability tendency,psychological construct: social desirability tendency,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
76f9e7cd1f17,Inattentiveness,inattentiveness,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
31720a15d6bb,Unassertiveness,unassertiveness,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
55a8beb1cc38,Decision-making decisiveness,decision-making decisiveness,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
ffed932ddf43,Sense-of-coherence score,sense-of-coherence score,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
3039354caef7,Justice-mindedness,justice-mindedness,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
490dc59e511d,Subscription count,subscription count,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
cab0e38337b9,Depression Symptoms,depression symptoms,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
fd39673a7ac9,Spatial perception,spatial perception,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
0e89db04946d,Brevity,brevity,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
5afd376b7c58,Orderliness,orderliness,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
53a59c1f0f2a,Multiculturalism,multiculturalism,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
42795ae12862,Creative risk-taking tendency,creative risk-taking tendency,false,,finance_risk,preference_or_habit,uncertain,Risk preference requires contextual validation to be observable,sensitive,,,,,Risk preference requires contextual validation to be observable,true,v1.2
a2b5e7fefdf7,Inefficiency,inefficiency,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
619d659322d7,Network basics,network basics,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
1aab8b6a9849,Alphabetical filing skills,alphabetical filing skills,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
fbd97d0d6507,Work Styles,work styles,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
c14d2a454811,Character strength: Perseverance,character strength: perseverance,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
fc5d6077dca2,Competition,competition,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
ec7fcff55a33,Logical Sequence Identification,logical sequence identification,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
7d19de705b24,Sustainable-transport usage,sustainable-transport usage,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
7b761012e95c,Hardworking,hardworking,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
b35782ac8bf0,Emotional-intelligence measure: Impulsiveness,emotional-intelligence measure: impulsiveness,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
fcc68e7e5b26,Dishonesty,dishonesty,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
77f071a00ba8,Preferred epistemology,preferred epistemology,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
ba1adb9edcc2,Memory for Sounds,memory for sounds,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
29df847f3688,Sportsmanship rating,sportsmanship rating,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
e9bcd75b22dc,Immaturity,immaturity,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
ac77044be576,Health-literacy level,health-literacy level,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
c52b68dfe954,Estimating Calculations,estimating calculations,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
d3dedeebab8a,Depression: Feelings of sadness and hopelessness,depression: feelings of sadness and hopelessness,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
0ac0ee5d066b,Synthesis of information,synthesis of information,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
212f09f66861,Leadership Potential:,leadership potential,false,,values,conversational_trait,true,Direct linguistic evidence possible in short conversation,ordinary,Measures the conversational expression of the trait: leadership potential.,"Strong linguistic evidence of the low end (e.g., explicitly demonstrating the opposite of leadership potential).","Mixed, moderate, or limited but sufficient evidence of leadership potential.",Strong and repeated linguistic evidence of the high end of leadership potential.,,false,v1.2
a6b2d12a0210,Ethical standards,ethical standards,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
d3c8edc38be6,High-spiritedness,high-spiritedness,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
d66027bf8955,Critical reasoning,critical reasoning,false,,skills,skill_or_knowledge,false,"Skill evaluation requires task execution evidence, not casual self-description",ordinary,,,,,"Skill evaluation requires task execution evidence, not casual self-description",true,v1.2
e6ecfd6098a2,Sleep-disorder diagnosis,sleep-disorder diagnosis,false,,health_medical,medical_or_diagnostic,false,Clinical biomarker or medical diagnosis requires objective medical evidence,high_risk,,,,,Clinical biomarker or medical diagnosis requires objective medical evidence,true,v1.2
c96a6c4d0c32,Listening Skills Subcomponents:,listening skills subcomponents,false,,communication,conversational_behavior,true,Direct linguistic evidence possible in short conversation,ordinary,Measures the frequency and intensity of listening skills subcomponents behavior in conversation.,"Strong linguistic evidence of the low end (e.g., deliberate avoidance of listening skills subcomponents).","Mixed, moderate, or limited but sufficient evidence of listening skills subcomponents.",Strong and repeated linguistic evidence of the high end of listening skills subcomponents.,,false,v1.2
a6827f638421,Collaboration,collaboration,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
70e316f44099,Precision of Movements,precision of movements,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
ef24b30f032a,Social Boldness,social boldness,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
069a2ed7acf7,Auditory memory,auditory memory,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
78d3a2098362,Psychomotor Ability Subcomponents:,psychomotor ability subcomponents,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
2903d0bbc4fa,Organized lifestyle,organized lifestyle,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
6dd8dcdd95ea,Skill-endorsements count,skill-endorsements count,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
04bdc092b3b4,Mysteriousness,mysteriousness,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
b1370a5c9535,Cultural Identity,cultural identity,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
50c8a7722ecf,Intrinsic Motivation,intrinsic motivation,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
9b6eacf468c4,Impartial-mindedness,impartial-mindedness,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
86a3b2515da0,Burnout Symptoms,burnout symptoms,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
ab43fcc72896,Holiness,holiness,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
ae6fb9c77830,Selfcontrol,selfcontrol,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
9402e3da69bd,SelfDirectedness,selfdirectedness,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
107675d496cb,Encouraging participation,encouraging participation,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
0f99bca4ffc9,Impracticalness,impracticalness,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
c5cae1be8f18,Meeting Deadlines,meeting deadlines,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
0a5c050b3c2e,Data Analysis,data analysis,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
e82a1697f197,Social Interaction Skills,social interaction skills,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
a44a07184110,Psychoticism,psychoticism,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
2454bda54316,Ethical leadership rating,ethical leadership rating,false,,values,conversational_trait,true,Direct linguistic evidence possible in short conversation,ordinary,Measures the conversational expression of the trait: ethical leadership rating.,"Strong linguistic evidence of the low end (e.g., explicitly demonstrating the opposite of ethical leadership rating).","Mixed, moderate, or limited but sufficient evidence of ethical leadership rating.",Strong and repeated linguistic evidence of the high end of ethical leadership rating.,,false,v1.2
7bd4774fcbe5,Slothfulness,slothfulness,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
4613987b0510,Happiness,happiness,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
dbe4845f24bb,Contentment Levels,contentment levels,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
ca05fd5fe0ce,Neuroticism,neuroticism,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
ab57b8379562,Desire for excellence,desire for excellence,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
28df35711cfa,Perceiving,perceiving,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
b2665e95adad,Liberalism,liberalism,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
f5a68c60906b,Inversion comfort level,inversion comfort level,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
5184dbc5fec3,Affection,affection,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
1ee9fa8b7ca7,Numeric Filing Skills,numeric filing skills,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
528aae449ef3,Martyrdom,martyrdom,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
dd31a4f441fe,Parathyroid-hormone level,parathyroid-hormone level,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
8090db4d0e22,Seeking approval,seeking approval,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
34d831521657,Judging (J):,judging (j),false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
6245ed089fcc,Big Five facet Openness – Artistic Interests,big five facet openness – artistic interests,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
